txnNum	seqid	name1	name2	startBarcodeIndex	numOfOligos	seqLen	fishClass	window	oligoLen
1	76_1_75	ANCR	NR_024031	0	76	855	4	10	110
2	234_2_157	Anril	NR_003529	75	158	1676	1	10	110
3	509_3_274	BORG	AB010885	232	275	2846	*	10	110
4	708_4_198	ENST00000606034.1	ENST00000606034.1	506	199	2086	*	10	110
5	991_5_282	FIRRE(HG)	NR_026975	704	283	2928	1	10	110
6	1469_6_477	FIRRE(MM)	NR_026976	986	478	4872	1	10	110
7	1523_7_53	GAS5	NR_002578	1463	54	632	2	10	110
8	2384_8_860	MALAT1	NR_002819	1516	861	8708	2	10	110
9	2547_9_162	Meg3	NR_033358	2376	163	1722	2	10	110
10	2911_10_363	NEAT1	NR_028272	2538	364	3735	2	10	110
11	3014_11_102	NR_024412	NR_024412	2901	103	1127	5	10	110
12	3250_12_235	NR_029435	NR_029435	3003	236	2457	3	10	110
13	3286_13_35	TERC	NR_001566	3238	36	451	2	10	110
14	3987_14_700	TUG1	NR_002323	3273	701	7104	3	10	110
15	5905_15_1917	XIST	NR_001564	3973	1918	19280	1	10	110
16	5961_16_55	XLOC_002094	TCONS_00005148	5890	56	660	4	10	110
17	6057_17_95	XLOC_002408	NR_040001	5945	96	1058	4	10	110
18	6375_18_317	XLOC_002746	NR_028301	6040	318	3278	3	10	110
19	6431_19_55	XLOC_003526	TCONS_00007523	6357	56	653	3	10	110
20	6494_20_62	XLOC_004456	NR_039993	6412	63	730	3	10	110
21	6727_21_232	XLOC_004803	TCONS_00010926	6474	233	2429	4	10	110
22	7022_22_294	XLOC_005151	DB2.2_TCONS_00023484	6706	295	3047	1	10	110
23	7306_23_283	XLOC_005764	NR_026807	7000	284	2933	2	10	110
24	7488_24_181	XLOC_006922	NR_003367	7283	182	1918	1	10	110
25	7767_25_278	XLOC_008174	NR_015353	7464	279	2886	4	10	110
26	7825_26_57	XLOC_009233	NR_038903	7742	58	673	3	10	110
27	8005_27_179	XLOC_009702	NR_040245	7799	180	1895	4	10	110
28	8216_28_210	XLOC_010017	NR_028045	7978	211	2208	3	10	110
29	8401_29_184	XLOC_010514	NR_044993	8188	185	1942	4	10	110
30	8619_30_217	XLOC_011185	NR_023915	8372	218	2280	4	10	110
31	8799_31_179	XLOC_011226	NR_026757	8589	180	1894	4	10	110
32	8854_32_54	XLOC_011950	NR_034106	8768	55	650	4	10	110
33	9053_33_198	XLOC_012599	NR_033770	8822	199	2090	5	10	110
34	9123_34_69	XLOC_L2_008203	NR_015395	9020	70	793	4	10	110
35	9134_35_10	lincFOXF1	NR_036444	9089	11	206	4	10	110
36	9419_36_284	lincMKLN1_A1	NR_015431	9099	285	2948	2	10	110
37	9678_37_258	lincSFPQ	uc001byq.3	9383	259	2685	3	10	110
38	11969_38_2290	kcnq1ot1	NR_002728	9679	2291	91671	1	40	110
